"FirstName","Surname","Address","SSN ","Phone","TransactionDate","Balance","Status"
"Julee","SMITH ","Fremont ","107-58-3255","+36 55 285 673",27/04/08,17421.77,"Pending"
"Genie","WILLIAMS ","Los Angeles ","251-54-1962","202-555-0126",27/04/08,11629.8,"Completed"
"Beth","JONES ","San Diego ","676-05-8778","202-555-0197",27/04/08,16712.87,"Pending"
"Kenny","JOHNSON ","Aurora ","334-34-8226","+353 20 913 3105",27/04/08,12857.77,"In-service"
"Jospeh","ANDERSON ","Washington ","175-58-1416","202-555-0149",27/04/08,8419.29,"In-service"
"Juliann","MARTIN ","Miami ","011-01-9700","202-555-0190",27/04/08,16840.2,"Pending"
"Brianna","STEWART ","Orlando ","005-46-2461","01632 960946",27/04/08,10123.63,"Completed"
"Laurel","MITCHELL ","Atlanta ","365-30-7218","1900 654 321",27/04/08,11123.58,"Pending"
"Roselyn","COOPER ","Detroit ","574-33-0079","01632 960390",27/04/08,16635.72,"In-service"
"Herbert","CARTER ","Warren ","693-05-3237","020 910 9158",27/04/08,1408.22,"Pending"
"Christeen","RUSSELL ","Casper ","006-01-4178","613-555-0109",27/04/08,5135.49,"Completed"
"Stephanie","COLLINS ","Richmond ","322-42-8124","202-555-0171",27/04/08,930.18,"Completed"
"Alexander","PHILLIPS ","Dallas ","680-12-1257","06 55 935 505",27/04/08,4949.85,"In-service"
"Cameron","PHILLIPS ","Columbia ","522-69-7291","01632 960793",27/04/08,15038.51,"In-service"
"Edward","ROSS ","Oklahoma City ","526-96-4110","202-555-0195",27/04/08,16384.94,"Completed"
